FileName,R1,G1,B1,Count1,R2,G2,B2,Count2,R3,G3,B3,Count3,R4,G4,B4,Count4,R5,G5,B5,Count5
Normal_220.jpg,130,99,71,78768,0,0,0,60753,78,64,45,56059,177,104,73,49068,225,118,73,17496
Normal_221.jpg,117,81,56,75676,0,0,0,60678,67,50,35,53309,168,90,59,37634,224,119,72,34847
Normal_222.jpg,139,116,87,66196,0,0,0,60302,175,108,77,54945,109,82,60,47872,157,142,105,32829
Normal_223.jpg,161,98,67,63714,0,0,0,59993,64,50,36,51510,114,74,52,44157,217,121,76,42770
Normal_224.jpg,0,0,0,74220,130,124,125,58472,89,91,96,45790,185,156,146,42433,242,197,171,41229
Normal_225.jpg,0,0,0,74089,131,108,101,70621,156,152,153,47034,207,216,208,37546,92,71,65,32854
Normal_226.jpg,0,0,0,74764,79,83,83,58464,114,109,101,54740,163,136,116,48525,209,164,129,25651
Normal_227.jpg,0,0,0,60518,122,80,66,56646,181,98,78,53505,230,131,94,48884,71,49,41,42591
Normal_228.jpg,0,0,0,74758,88,85,80,56423,174,147,124,54291,127,117,104,50074,223,177,143,26598
Normal_229.jpg,0,0,0,74901,32,27,25,71641,69,51,41,57183,115,66,43,43638,180,88,42,14781
Normal_23.jpg,0,0,0,75482,73,71,76,53090,120,105,103,47581,241,182,144,44739,177,135,122,41252
Normal_230.jpg,0,0,0,74887,68,59,66,61290,129,98,97,59995,189,175,180,38527,216,147,124,27445
Normal_231.jpg,120,83,67,71560,0,0,0,61673,163,90,68,52709,74,52,40,44693,217,101,71,31509
Normal_232.jpg,154,102,76,83229,0,0,0,60993,66,55,42,44742,115,75,56,36740,210,116,83,36440
Normal_233.jpg,0,0,0,74746,157,101,77,53668,71,55,50,53037,117,80,64,47367,211,112,71,33326
Normal_234.jpg,0,0,0,74138,114,109,98,60773,79,64,55,50157,137,89,63,39544,185,104,65,37532
Normal_235.jpg,0,0,0,75092,143,107,87,64624,67,57,54,46993,108,84,72,46854,204,127,78,28581
Normal_236.jpg,0,0,0,74650,112,102,102,59704,155,111,96,53438,90,75,73,37348,198,134,108,37004
Normal_237.jpg,0,0,0,73980,137,106,106,60603,150,162,180,46138,89,78,84,45677,130,129,143,35746
Normal_238.jpg,0,0,0,74186,124,92,74,68362,68,53,49,47988,151,139,123,47114,220,135,84,24494
Normal_239.jpg,0,0,0,75143,136,110,111,66291,168,157,161,47554,75,58,62,44078,217,130,104,29078
