FileName,R,G,B,Count
Stage_1_ROP_59.png,104.97551,97.49301,89.08549,38626
Stage_1_ROP_59.png,177.91183,175.03154,160.7477,34051
Stage_1_ROP_6.png,143.59009,132.95792,130.43065,58016
Stage_1_ROP_6.png,210.461,128.39973,97.006516,54488
Stage_1_ROP_6.png,117.14304,86.942375,74.89141,46839
Stage_1_ROP_6.png,179.4245,191.26472,185.85089,25887
Stage_1_ROP_60.png,167.04887,153.80591,136.0904,45440
Stage_1_ROP_60.png,139.58633,118.597275,102.68428,44891
Stage_1_ROP_60.png,152.5023,135.803,119.88749,44547
Stage_1_ROP_60.png,116.149864,105.8444,91.46667,41344
Stage_1_ROP_61.png,131.20528,131.1633,136.12056,94161
Stage_1_ROP_61.png,189.00957,142.9837,131.10036,45434
Stage_1_ROP_61.png,147.7455,108.26818,106.06223,26628
Stage_1_ROP_61.png,103.90308,87.21963,96.31639,18768
Stage_1_ROP_62.png,148.94894,151.76942,164.19514,54416
Stage_1_ROP_62.png,138.40555,139.02052,147.04953,51125
Stage_1_ROP_62.png,132.32619,119.656136,122.86769,40118
Stage_1_ROP_62.png,162.34358,128.0796,129.50882,39761
Stage_1_ROP_63.png,141.57257,136.23526,138.88074,71125
Stage_1_ROP_63.png,113.70321,114.49204,122.43451,57347
Stage_1_ROP_63.png,174.04991,133.82271,132.02692,32437
Stage_1_ROP_63.png,103.053825,92.40507,100.31033,24954
Stage_1_ROP_64.png,133.59683,130.39076,130.55473,62857
Stage_1_ROP_64.png,156.24161,109.90713,97.10641,44199
Stage_1_ROP_64.png,191.75562,128.04404,106.85656,38436
Stage_1_ROP_64.png,117.36761,100.538246,91.510796,36686
Stage_1_ROP_65.png,117.82095,101.44765,92.80716,71644
Stage_1_ROP_65.png,141.51523,141.14949,133.67802,46653
Stage_1_ROP_65.png,79.48062,72.53941,71.80205,34938
Stage_1_ROP_65.png,153.25902,123.08363,103.14811,34016
Stage_1_ROP_66.png,168.88829,130.66148,90.7067,60225
Stage_1_ROP_66.png,190.23247,150.66266,105.27396,56159
Stage_1_ROP_66.png,201.36737,171.68819,124.956436,35835
Stage_1_ROP_66.png,131.24106,107.082634,70.260185,26600
Stage_1_ROP_67.png,166.35234,160.31273,150.59468,50437
Stage_1_ROP_67.png,133.0232,118.56188,103.86465,49454
Stage_1_ROP_67.png,148.06622,136.53906,125.01374,49124
Stage_1_ROP_67.png,96.95317,97.15003,87.82248,27162
Stage_1_ROP_68.png,157.70244,161.44229,152.82898,61363
Stage_1_ROP_68.png,133.83568,131.52798,116.82942,53554
Stage_1_ROP_68.png,104.00343,106.28895,95.170906,34030
Stage_1_ROP_68.png,179.0155,150.31277,128.46701,29535
Stage_1_ROP_69.png,111.9332,85.45964,90.10832,59592
Stage_1_ROP_69.png,90.614136,73.35892,82.34224,50432
Stage_1_ROP_69.png,68.22391,61.15001,73.06309,49403
Stage_1_ROP_69.png,139.7713,93.62658,87.9343,26062
Stage_1_ROP_7.png,115.84198,102.181755,112.04845,58073
Stage_1_ROP_7.png,139.73883,129.49377,144.85278,56255
Stage_1_ROP_7.png,164.47528,159.44225,180.63518,45963
Stage_1_ROP_7.png,83.24931,74.67562,84.56704,44960
Stage_1_ROP_70.png,143.32948,131.74684,137.93178,64531
Stage_1_ROP_70.png,145.13687,146.61488,152.44566,54395
Stage_1_ROP_70.png,174.95644,140.86526,138.48535,36054
Stage_1_ROP_70.png,128.54053,114.27529,126.062294,26874
Stage_1_ROP_71.png,138.03334,119.59444,124.46367,87350
Stage_1_ROP_71.png,119.1463,107.77281,114.41601,50162
Stage_1_ROP_71.png,163.10686,127.75417,126.78752,44076
Stage_1_ROP_71.png,52.985382,48.634502,52.24269,1026
Stage_1_ROP_72.png,143.39606,131.72644,137.8979,64526
